제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
부부끼리 뭐 어때,효월(김시현),정이나,9.68,,"수, 토 연재",로맨스,"7,299",./img_data/부부끼리 뭐 어때.jpg
불순한 오빠,고라니(Gorani),별,9.56,다운로드 63만,"수, 토 연재",로맨스,"2,058",./img_data/불순한 오빠.jpg
탐나는 파트너,언정이,비이커,9.94,다운로드 67만,"목, 일 연재",로맨스,"2,100",./img_data/탐나는 파트너.jpg
사수하고 싶은 남자,벚꽃그리고,Aggie.R,9.92,다운로드 99만,"수, 일 연재",로맨스,"3,788",./img_data/사수하고 싶은 남자.jpg
밀착연애담,서지완,B,9.91,다운로드 32만,"화, 금 연재",로맨스,"1,651",./img_data/밀착연애담.jpg
위험천만한 연애,Lunar 이지연,NOVA,9.94,다운로드 211만,"수, 일 연재",로맨스,"4,524",./img_data/위험천만한 연애.jpg
입 맞추고 시작,이른봄,강기,9.94,다운로드 26만,"수, 일 연재",로맨스,"2,588",./img_data/입 맞추고 시작.jpg
바다를 노래하소서,사비랑,마끼,9.96,다운로드 4만,"화, 금 연재",로맨스,"1,145",./img_data/바다를 노래하소서.jpg
오늘부터 천생연분,노승아,Kymawave,9.94,다운로드 369만,"목, 일 연재",로맨스,"10,324",./img_data/오늘부터 천생연분.jpg
야(夜)한 밤의 레이디오국,初沇(초연),이신,9.95,다운로드 50만,"수, 토 연재",로맨스,"2,023",./img_data/야(夜)한 밤의 레이디오국.jpg
오 나의 여신님,강희자매,엔리,9.87,다운로드 53만,"목, 일 연재",로맨스,"3,054",./img_data/오 나의 여신님.jpg
고결한 상사의 충직한 개,박얼빈,Kymawave,9.96,다운로드 66만,"화, 토 연재",로맨스,"3,150",./img_data/고결한 상사의 충직한 개.jpg
파라다이스 웨딩,차승현(車昇炫),꽁,9.83,다운로드 33만,"월, 금 연재",로맨스,"2,005",./img_data/파라다이스 웨딩.jpg
